id	user_id	location	caption	url	url_thumbnail	im_height	im_width	n_comments	n_likes	timestamp_media	timestamp_db	is_ad	shortcode	is_duplicate
1624191548350430000	19003880		"Homemade Takoyaki 🐙mums😃
.
.
.
#takoyaki #instafood #instagood #uppsala #snack #foodstagram #food #japanese #japan"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22429787_148079579134927_4174592170285596672_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22429787_148079579134927_4174592170285596672_n.jpg	1080	1080	0	5	1507838742	1507838939	False	BaKSZuennrx	0
1624191552040780000	3433886525		Courge butternut farcies lardons/crème fraîche & chèvre !  Un délice ! 🍴  #homefood  #food  #faitmaison	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22500466_122660665068019_975641120237158400_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/22500466_122660665068019_975641120237158400_n.jpg	1350	1080	1	0	1507838742	1507838938	False	BaKSZx6lL1r	0
1624191552752560000	178713592		#bread#basil#pramesan#garlic#seasoning#food#foodporn#cooking#italian	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352533_281466295694238_5400966050969812992_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/22352533_281466295694238_5400966050969812992_n.jpg	1350	1080	0	6	1507838742	1507838938	False	BaKSZylAasL	0
1624191554876680000	1473903600		"Babpüré paprikás-dinsztelt hagymával 
Ha a mai ebédemet egyszóval kellene jellemezni akkor leginkább az egyszerűség jutna eszembe. 
Ahol éltem gyerekekként akkoriban gyakran került az asztalra. Azon a vidéken ""tört paszulynak "" hívták, hívják a mai napig. 
Zsenges babot feltettem annyi vízben főzni, hogy ellepje. Tettem bele 1 kis fej hagymát, 2 cikk fokhagymát, Himalája sót, kurkumat, fehérborsot, tarkonyt, majoránnat. Amikor megpuhult leontottem róla a vizet, adtam hozza zabkrémet, majd botmixerrel simara kevertem. 
Amíg a bab főtt elkészítettem a hagymát. 1 ek.Kókuszolajon/ kacsazsiron 3 fej felvágott vöröshagymat megdinszteltem. Fűszereztem Himalája sóval, pirospaprikaval. A kész ételt ezzel talaltam. 
#lunch #bab #paszuly #babpure #tortpaszuly #zabkrém #fokhagyma #vöröshagyma #húsmentes #delicious  #cukormentes #Kókuszzsír #pic #foodpic #mutimiteszel #ebéd  #mutimiteszel_fitt #dietas #healthyfood #healthy #insta #instaphoto #food #instafood ##tudatostaplalkozas #vegetáriánus #mutimiteszel_vegetáriánus  #yummy #yummyfood #yummyphoto"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352281_213300529206191_5253967913341157376_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c177.0.725.725/22352281_213300529206191_5253967913341157376_n.jpg	725	1080	0	3	1507838743	1507838937	False	BaKSZ0jnShZ	0
1624191556159550000	293753933	{u'slug': u'rancho-acoriano-restaurante', u'id': u'1031938908', u'name': u'Rancho A\xe7oriano Restaurante', u'has_public_page': True}	"almoço tardio de feriado. 😍
A escolha foi pedir vários aperitivos: começamos com camarões à milanesa que estavam enormes e muito muito gostosos, anéis de lula à dorê, pastéis de camarão e de #berbigão bem feitinhos, e estes deliciosos camarões ao alho e óleo da foto. 🦐😋 Por fim, compartilhamos um prato: Garoupa à Belle Munière, com camarões, champignons e alcaparras, que acompanhava salada, arroz, batata sauté e #pirão. Banquete! Ah, e a dica aqui é a caipirinha de limão cravo, aquele limão alaranjado comum na região, menos ácido e mais docinho🍹. Fica show! O Rancho Açoriano é sempre uma de nossas sugestões quando nos pedem dica de restaurantes de frutos do mar em #Florianópolis. Seguem padrão na qualidade dos pratos e bom atendimento, fundamentais para sucesso.
{já escrevemos um post no Blog sobre, basta procurar por “Rancho Açoriano” em nossa barra de busca no saboreandoporai.com}
#saboreandoporai | #saboreandofloripa"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352056_679702475567394_7706938970059309056_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c128.0.824.824/22352056_679702475567394_7706938970059309056_n.jpg	824	1080	1	5	1507838743	1507838936	False	BaKSZ1wFCr3	0
1624191558559230000	1492902239		"Calor? 👉 Una buena bebida es la solución. Hoy trabajando para ti en #MonteBelloBurger 🍔🍟
.
.
.
.
.
.
.
#burger #hamburguesa #instagood #instasize #igers #tagsforlikes #altosmirandinos #grancaracas #caracas  #instaphoto #altosmirandinos #losteques #carrizal #sanantoniodelosaltos #food #foodporn #igerslossalias"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22427579_272210559955126_7469667796759085056_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427579_272210559955126_7469667796759085056_n.jpg	1080	1080	0	5	1507838743	1507838936	False	BaKSZ3_HFyX	0
1624191572415450000	5744689772		#italia #italy #italian #italiangirl #picoftheday #italianboy #italiainunoscatto #photooftheday #love #italianfood #italianstyle #me #igersitalia #italiana #italiangp #italiangirls #italians #italiancar #instalike #like4like #foodporn #food #instagood #ig_italia #volgoitalia #polishgirl #photography #italia365	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22429945_121567111860833_6214732581124964352_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/c0.75.600.600/22429945_121567111860833_6214732581124964352_n.jpg	800	640	0	24	1507838745	1507838935	False	BaKSaE5AYfh	0
1624191576745740000	3258842166		just laying on the counter...trying not to look at the peaches behind me or i might eat them 🍑 #coco #cocochanel #cocopuffs #hotcoco #queencoco #yorkie #bigyorkie #yorkiesofinstagram #dogsofinstagram #cuteyorkie #adorableyorkie #cute #cutie #adorable #adorabledog #cutedog #cutestdog #peach #peaches #costco #yummy #dontlook #food #ilovefood #foodie #thursday	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22351972_489775718070234_6219208091666219008_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c2.0.1075.1075/22351972_489775718070234_6219208091666219008_n.jpg	1075	1080	0	2	1507838745	1507838935	False	BaKSaI7HJAM	0
1624191580923240000	3087868789		"Dear Patients & Followers 👩🏻‍⚕️
Your dietitians don’t only give DIET written on a paper but also , and their most important role is :
The role of your dietitian coach is to give you nutritional information and advice that is designed to help meet your individual needs, along with plenty of motivation and support! They’ll spend time discussing strategies that could work best for you and potential barriers that you’re likely to face, to assist in setting you up for success to achieve your goals.
Trust Your Dietitian & Be Motivated 😃😍
#diet #dietitian #coaching #nutrition #wellness #life #lifestyle #healthylifestyle #lifestylechange #change #motivation #fitness #fitfam #fitnessjourney #healthyeating #health #healthylifestyle #trust #food #instadaily #instagood #instablogger #patience #lifegoals #beirut"	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352141_146282802776227_7745373773397753856_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c156.0.768.768/22352141_146282802776227_7745373773397753856_n.jpg	768	1080	0	7	1507838746	1507838934	False	BaKSaM0HCs4	0
1624191583799500000	1527517250	{u'slug': u'salas-137', u'id': u'332387667', u'name': u'Sala\u0161 137', u'has_public_page': True}	#salas #ergela #food #nature #horses #folklor #history #now #tamburice #relax #joy #instamood	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/e35/22352389_913429505476831_2868108319078219776_n.jpg	https://scontent-lax3-2.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22352389_913429505476831_2868108319078219776_n.jpg	1080	1080	0	15	1507838746	1507838934	False	BaKSaPfjG7_	0
